epoch,train_loss,val_loss
1,3.520555019378662,3.39102840423584
2,3.233302275339762,2.8707380294799805
3,2.7189509868621826,2.7125980854034424
4,2.644828955332438,2.597712993621826
5,2.549867630004883,2.5195884704589844
6,2.4446965058644614,2.417438507080078
7,2.3233839670817056,2.3101882934570312
8,2.207242170969645,2.2047336101531982
9,2.078770081202189,2.093090057373047
10,1.906018058458964,2.0010554790496826
11,1.8724255959192913,1.9266149997711182
12,1.7733245690663655,1.8421751260757446
13,1.6165969371795654,1.789634346961975
14,1.6331181128819783,1.7405422925949097
15,1.6364210446675618,1.6938340663909912
16,1.5709429184595745,1.652308464050293
17,1.4199979305267334,1.6064406633377075
18,1.517304499944051,1.5790026187896729
19,1.458290735880534,1.5560694932937622
20,1.4161650737126668,1.53193199634552
